Sample Name,Target Name,Task,CT
input,FFLUC,1.0,22.36734
input,FFLUC,1.0,22.498487
input,FFLUC,1.0,22.283878
input,WSN_PB2,1.0,17.776644
input,WSN_PB2,1.0,17.730045
input,WSN_PB2,1.0,17.773909
input,FFLUC,2.0,21.84363
input,FFLUC,2.0,21.628843
input,FFLUC,2.0,21.689505
input,WSN_PB2,2.0,17.375883
input,WSN_PB2,2.0,17.268856
input,WSN_PB2,2.0,17.284834
enrich,FFLUC,1.0,20.82073
enrich,FFLUC,1.0,20.226658
enrich,FFLUC,1.0,20.605885
enrich,WSN_PB2,1.0,16.479958
enrich,WSN_PB2,1.0,16.79844
enrich,WSN_PB2,1.0,16.833084
enrich,FFLUC,2.0,19.589334
enrich,FFLUC,2.0,19.83295
enrich,FFLUC,2.0,20.214514
enrich,WSN_PB2,2.0,16.336796
enrich,WSN_PB2,2.0,16.167164
enrich,WSN_PB2,2.0,16.341858
flowthrough,FFLUC,1.0,19.98479
flowthrough,FFLUC,1.0,20.108759
flowthrough,FFLUC,1.0,19.960978
flowthrough,WSN_PB2,1.0,14.976861
flowthrough,WSN_PB2,1.0,14.817818
flowthrough,WSN_PB2,1.0,14.887971
flowthrough,FFLUC,2.0,20.716675
flowthrough,FFLUC,2.0,20.526295
flowthrough,FFLUC,2.0,20.691252
flowthrough,WSN_PB2,2.0,15.270207
flowthrough,WSN_PB2,2.0,15.137645
flowthrough,WSN_PB2,2.0,15.268756
