Sample Name,Target Name,Task,CT
mock_FLAG,RNA18S1,1.0,14.565748
mock_FLAG,RNA18S1,1.0,14.838304
mock_FLAG,RNA18S1,1.0,13.684139
mock_FLAG,RNU6,1.0,19.733372
mock_FLAG,RNU6,1.0,19.685446
mock_FLAG,RNU6,1.0,20.14378
mock_FLAG,RNY4,1.0,25.751747
mock_FLAG,RNY4,1.0,25.613468
mock_FLAG,vtRNA1-1,1.0,22.5167
mock_FLAG,vtRNA1-1,1.0,22.17152
mock_FLAG,vtRNA1-1,1.0,22.423986
mock_FLAG,WSN_PB2,1.0,30.89571
mock_FLAG,WSN_PB2,1.0,31.136776
mock_FLAG,WSN_PB2,1.0,31.446259
mock_IgG,RNA18S1,1.0,16.881142
mock_IgG,RNA18S1,1.0,16.737091
mock_IgG,RNA18S1,1.0,16.769638
mock_IgG,RNU6,1.0,22.132093
mock_IgG,RNU6,1.0,22.190453
mock_IgG,RNU6,1.0,22.335163
mock_IgG,RNY4,1.0,28.017553
mock_IgG,RNY4,1.0,27.99985
mock_IgG,RNY4,1.0,27.977987
mock_IgG,vtRNA1-1,1.0,24.715866
mock_IgG,vtRNA1-1,1.0,24.47285
mock_IgG,vtRNA1-1,1.0,24.796215
mock_IgG,WSN_PB2,1.0,27.49637
mock_IgG,WSN_PB2,1.0,27.633549
mock_IgG,WSN_PB2,1.0,27.732813
mock_FLAG,RNA18S1,2.0,13.105861
mock_FLAG,RNA18S1,2.0,13.148574
mock_FLAG,RNA18S1,2.0,13.153553
mock_FLAG,RNU6,2.0,19.236345
mock_FLAG,RNU6,2.0,19.060364
mock_FLAG,RNU6,2.0,18.807125
mock_FLAG,RNY4,2.0,24.052328
mock_FLAG,RNY4,2.0,25.14482
mock_FLAG,RNY4,2.0,24.572794
mock_FLAG,vtRNA1-1,2.0,21.408957
mock_FLAG,vtRNA1-1,2.0,21.611444
mock_FLAG,vtRNA1-1,2.0,21.281378
mock_FLAG,WSN_PB2,2.0,25.841888
mock_FLAG,WSN_PB2,2.0,26.600914
mock_FLAG,WSN_PB2,2.0,26.368956
mock_IgG,RNA18S1,2.0,15.272516
mock_IgG,RNA18S1,2.0,15.029838
mock_IgG,RNA18S1,2.0,15.071507
mock_IgG,RNU6,2.0,20.510342
mock_IgG,RNU6,2.0,20.518187
mock_IgG,RNU6,2.0,20.278965
mock_IgG,RNY4,2.0,25.991362
mock_IgG,RNY4,2.0,25.968725
mock_IgG,RNY4,2.0,25.768934
mock_IgG,vtRNA1-1,2.0,22.713999
mock_IgG,vtRNA1-1,2.0,22.638456
mock_IgG,vtRNA1-1,2.0,22.840534
mock_IgG,WSN_PB2,2.0,27.283024
mock_IgG,WSN_PB2,2.0,27.475182
mock_IgG,WSN_PB2,2.0,27.15872
mock_FLAG,RNA18S1,3.0,14.252865
mock_FLAG,RNA18S1,3.0,14.580224
mock_FLAG,RNA18S1,3.0,13.823882
mock_FLAG,RNU6,3.0,19.969318
mock_FLAG,RNU6,3.0,20.495352
mock_FLAG,RNU6,3.0,20.379322
mock_FLAG,RNY4,3.0,25.254278
mock_FLAG,RNY4,3.0,25.93519
mock_FLAG,RNY4,3.0,26.208447
mock_FLAG,vtRNA1-1,3.0,22.811947
mock_FLAG,vtRNA1-1,3.0,23.061321
mock_FLAG,vtRNA1-1,3.0,23.200825
mock_FLAG,WSN_PB2,3.0,30.25473
mock_FLAG,WSN_PB2,3.0,30.132444
mock_FLAG,WSN_PB2,3.0,29.197317
mock_IgG,RNA18S1,3.0,14.9546795
mock_IgG,RNA18S1,3.0,14.798648
mock_IgG,RNA18S1,3.0,14.832426
mock_IgG,RNU6,3.0,20.217335
mock_IgG,RNU6,3.0,26.523312
mock_IgG,RNU6,3.0,19.309355
mock_IgG,RNY4,3.0,25.15319
mock_IgG,RNY4,3.0,25.423897
mock_IgG,RNY4,3.0,25.983303
mock_IgG,vtRNA1-1,3.0,23.304958
mock_IgG,vtRNA1-1,3.0,22.549831
mock_IgG,vtRNA1-1,3.0,22.137016
mock_IgG,WSN_PB2,3.0,27.7038
mock_IgG,WSN_PB2,3.0,27.802475
mock_IgG,WSN_PB2,3.0,27.157999
infected_FLAG,RNA18S1,1.0,14.855888
infected_FLAG,RNA18S1,1.0,14.987334
infected_FLAG,RNA18S1,1.0,15.033244
infected_FLAG,RNU6,1.0,17.976234
infected_FLAG,RNU6,1.0,18.188822
infected_FLAG,RNU6,1.0,18.405928
infected_FLAG,RNY4,1.0,26.66636
infected_FLAG,RNY4,1.0,26.639328
infected_FLAG,RNY4,1.0,25.765993
infected_FLAG,vtRNA1-1,1.0,20.76269
infected_FLAG,vtRNA1-1,1.0,20.607164
infected_FLAG,vtRNA1-1,1.0,20.973894
infected_FLAG,WSN_PB2,1.0,13.962086
infected_FLAG,WSN_PB2,1.0,13.92663
infected_FLAG,WSN_PB2,1.0,13.961116
infected_IgG,RNA18S1,1.0,13.981719
infected_IgG,RNA18S1,1.0,13.718102
infected_IgG,RNA18S1,1.0,13.850528
infected_IgG,RNU6,1.0,19.124397
infected_IgG,RNU6,1.0,19.346893
infected_IgG,RNU6,1.0,19.226809
infected_IgG,RNY4,1.0,27.15757
infected_IgG,RNY4,1.0,27.263567
infected_IgG,RNY4,1.0,26.290888
infected_IgG,vtRNA1-1,1.0,21.338459
infected_IgG,vtRNA1-1,1.0,21.765862
infected_IgG,vtRNA1-1,1.0,21.621626
infected_IgG,WSN_PB2,1.0,15.480515
infected_IgG,WSN_PB2,1.0,15.675544
infected_IgG,WSN_PB2,1.0,15.706901
infected_FLAG,RNA18S1,2.0,13.450664
infected_FLAG,RNA18S1,2.0,13.80084
infected_FLAG,RNA18S1,2.0,14.192075
infected_FLAG,RNU6,2.0,17.708282
infected_FLAG,RNU6,2.0,17.1481
infected_FLAG,RNU6,2.0,17.13481
infected_FLAG,RNY4,2.0,25.115707
infected_FLAG,RNY4,2.0,25.273397
infected_FLAG,RNY4,2.0,26.704588
infected_FLAG,vtRNA1-1,2.0,21.901339
infected_FLAG,vtRNA1-1,2.0,19.611074
infected_FLAG,vtRNA1-1,2.0,20.68369
infected_FLAG,WSN_PB2,2.0,13.352172
infected_FLAG,WSN_PB2,2.0,13.464105
infected_FLAG,WSN_PB2,2.0,13.18323
infected_IgG,RNA18S1,2.0,11.19517
infected_IgG,RNA18S1,2.0,11.465411
infected_IgG,RNA18S1,2.0,10.965378
infected_IgG,RNU6,2.0,15.201014
infected_IgG,RNU6,2.0,15.694357
infected_IgG,RNU6,2.0,15.225538
infected_IgG,RNY4,2.0,24.248518
infected_IgG,RNY4,2.0,24.757252
infected_IgG,RNY4,2.0,23.494642
infected_IgG,vtRNA1-1,2.0,19.210402
infected_IgG,vtRNA1-1,2.0,19.498962
infected_IgG,vtRNA1-1,2.0,19.12164
infected_IgG,WSN_PB2,2.0,14.006387
infected_IgG,WSN_PB2,2.0,13.5669
infected_IgG,WSN_PB2,2.0,13.970484
infected_FLAG,RNA18S1,3.0,12.341708
infected_FLAG,RNA18S1,3.0,12.677774
infected_FLAG,RNA18S1,3.0,13.702907
infected_FLAG,RNU6,3.0,17.233917
infected_FLAG,RNU6,3.0,16.748009
infected_FLAG,RNU6,3.0,16.782896
infected_FLAG,RNY4,3.0,25.87238
infected_FLAG,RNY4,3.0,25.817373
infected_FLAG,RNY4,3.0,24.978315
infected_FLAG,vtRNA1-1,3.0,19.922745
infected_FLAG,vtRNA1-1,3.0,19.826286
infected_FLAG,vtRNA1-1,3.0,20.294556
infected_FLAG,WSN_PB2,3.0,12.989725
infected_FLAG,WSN_PB2,3.0,12.937432
infected_FLAG,WSN_PB2,3.0,13.612332
infected_IgG,RNA18S1,3.0,13.978906
infected_IgG,RNA18S1,3.0,13.417295
infected_IgG,RNA18S1,3.0,14.161232
infected_IgG,RNU6,3.0,18.255836
infected_IgG,RNU6,3.0,18.329897
infected_IgG,RNU6,3.0,18.360703
infected_IgG,RNY4,3.0,27.89852
infected_IgG,RNY4,3.0,27.478796
infected_IgG,RNY4,3.0,27.469357
infected_IgG,vtRNA1-1,3.0,21.767485
infected_IgG,vtRNA1-1,3.0,21.991219
infected_IgG,vtRNA1-1,3.0,22.270767
infected_IgG,WSN_PB2,3.0,16.561747
infected_IgG,WSN_PB2,3.0,16.453907
infected_IgG,WSN_PB2,3.0,16.778242
