Sample Name,Target Name,Task,CT
input,FFLUC,1.0,21.964262
input,FFLUC,1.0,22.204792
input,FFLUC,1.0,22.284735
input,WSN_PB2,1.0,17.47776
input,WSN_PB2,1.0,17.39282
input,WSN_PB2,1.0,17.469534
input,FFLUC,2.0,21.938908
input,FFLUC,2.0,22.096514
input,FFLUC,2.0,21.860407
input,WSN_PB2,2.0,17.247274
input,WSN_PB2,2.0,17.230309
input,WSN_PB2,2.0,17.259941
enrich,FFLUC,1.0,21.214365
enrich,FFLUC,1.0,21.21299
enrich,FFLUC,1.0,21.359777
enrich,WSN_PB2,1.0,16.997253
enrich,WSN_PB2,1.0,17.166073
enrich,WSN_PB2,1.0,17.185692
enrich,FFLUC,2.0,21.35261
enrich,FFLUC,2.0,21.379467
enrich,FFLUC,2.0,20.94929
enrich,WSN_PB2,2.0,17.605413
enrich,WSN_PB2,2.0,17.416002
enrich,WSN_PB2,2.0,17.367437
flowthrough,FFLUC,1.0,20.186918
flowthrough,FFLUC,1.0,20.12365
flowthrough,FFLUC,1.0,20.222786
flowthrough,WSN_PB2,1.0,14.970756
flowthrough,WSN_PB2,1.0,15.000565
flowthrough,WSN_PB2,1.0,14.93751
flowthrough,FFLUC,2.0,18.863207
flowthrough,FFLUC,2.0,19.05515
flowthrough,WSN_PB2,2.0,14.700625
flowthrough,WSN_PB2,2.0,14.543419
flowthrough,WSN_PB2,2.0,14.695816
