"Target.Name","+RnaseH_percent_input","-RnaseH_percent_input","foldchange"
"DUSP11",0.185068392778226,0.887962565102777,0.208419138431591
"RNA18S1",0.0707017431290661,0.144625023100981,0.488862450031901
"RNU6",0.022305940076941,0.0767400808372365,0.290668707063929
"RNY4",0.0585880575052661,0.0868257088959012,0.674777761682426
"WSN_NP",0.0469477370000181,0.162631853649927,0.288674917898159
"WSN_PB2",0.0311701036275555,0.153314858567511,0.203307780594729
"vtRNA1-1",0.0169867315169311,0.0961602702970679,0.176650205583387
