Sample Name,Target Name,Task,CT
T0,RNA18S1,1.0,7.384416
T0,RNA18S1,1.0,8.004149
T0,RNA18S1,1.0,7.803886
T0,DUSP11,1.0,24.000402
T0,DUSP11,1.0,24.135067
T0,DUSP11,1.0,23.930052
T24,RNA18S1,3.0,7.8599277
T24,RNA18S1,3.0,7.7250743
T24,DUSP11,3.0,27.341036
T24,DUSP11,3.0,27.267164
T24,DUSP11,3.0,27.291115
T0,RNA18S1,2.0,8.093861
T0,RNA18S1,2.0,7.5557075
T0,RNA18S1,2.0,7.7537937
T0,DUSP11,2.0,23.081646
T0,DUSP11,2.0,23.48846
T0,DUSP11,2.0,23.56186
T48,RNA18S1,1.0,8.233045
T48,RNA18S1,1.0,8.107901
T48,RNA18S1,1.0,8.226559
T48,DUSP11,1.0,26.98628
T48,DUSP11,1.0,26.654701
T48,DUSP11,1.0,26.774082
T0,RNA18S1,3.0,7.938413
T0,RNA18S1,3.0,7.9420137
T0,RNA18S1,3.0,7.51997
T0,DUSP11,3.0,23.514328
T0,DUSP11,3.0,23.370342
T0,DUSP11,3.0,23.253433
T48,RNA18S1,2.0,8.650721
T48,RNA18S1,2.0,8.597709
T48,RNA18S1,2.0,8.5001335
T48,DUSP11,2.0,26.55289
T48,DUSP11,2.0,26.438307
T48,DUSP11,2.0,26.91309
T8,RNA18S1,1.0,7.918593
T8,RNA18S1,1.0,7.627188
T8,RNA18S1,1.0,7.6040606
T8,DUSP11,1.0,26.3383
T8,DUSP11,1.0,26.398127
T8,DUSP11,1.0,26.786148
T48,RNA18S1,3.0,8.856382
T48,RNA18S1,3.0,8.612184
T48,RNA18S1,3.0,8.395052
T48,DUSP11,3.0,26.109097
T48,DUSP11,3.0,26.035318
T48,DUSP11,3.0,26.129875
T8,RNA18S1,2.0,7.5721455
T8,RNA18S1,2.0,7.72648
T8,RNA18S1,2.0,7.4280844
T8,DUSP11,2.0,26.009857
T8,DUSP11,2.0,26.313047
T8,DUSP11,2.0,26.389736
mock,RNA18S1,1.0,6.211078
mock,RNA18S1,1.0,7.505461
mock,DUSP11,1.0,23.155949
mock,DUSP11,1.0,23.313105
mock,DUSP11,1.0,23.251078
T8,RNA18S1,3.0,7.6693077
T8,RNA18S1,3.0,7.6486535
T8,RNA18S1,3.0,7.2856755
T8,DUSP11,3.0,26.132053
T8,DUSP11,3.0,26.37684
T8,DUSP11,3.0,26.207586
mock,RNA18S1,2.0,7.2724233
mock,RNA18S1,2.0,6.8409705
mock,RNA18S1,2.0,6.845415
mock,DUSP11,2.0,23.51978
mock,DUSP11,2.0,23.248215
T24,RNA18S1,1.0,7.956238
T24,RNA18S1,1.0,7.9673715
T24,RNA18S1,1.0,7.946347
T24,DUSP11,1.0,27.530388
T24,DUSP11,1.0,27.388298
T24,DUSP11,1.0,27.733397
mock,RNA18S1,3.0,7.6158304
mock,RNA18S1,3.0,7.7517123
mock,RNA18S1,3.0,7.509556
mock,DUSP11,3.0,23.705297
mock,DUSP11,3.0,23.952158
mock,DUSP11,3.0,23.466177
T24,RNA18S1,2.0,8.21497
T24,RNA18S1,2.0,7.5731826
T24,RNA18S1,2.0,8.121179
T24,DUSP11,2.0,27.37694
T24,DUSP11,2.0,27.153347
T24,DUSP11,2.0,26.966764
