Sample Name,Target Name,Task,CT
+Rnasin_input,FFLUC,1.0,22.183159
+Rnasin_input,FFLUC,1.0,21.708542
+Rnasin_input,FFLUC,1.0,21.706396
+Rnasin_input,WSN_PB2,1.0,17.07558
+Rnasin_input,WSN_PB2,1.0,16.901564
+Rnasin_input,WSN_PB2,1.0,16.97988
+Rnasin_input,FFLUC,2.0,22.23252
+Rnasin_input,FFLUC,2.0,22.61953
+Rnasin_input,FFLUC,2.0,22.312113
+Rnasin_input,WSN_PB2,2.0,17.463099
+Rnasin_input,WSN_PB2,2.0,17.766567
+Rnasin_input,WSN_PB2,2.0,17.609612
+Rnasin_enrich,FFLUC,1.0,20.747673
+Rnasin_enrich,FFLUC,1.0,20.724997
+Rnasin_enrich,FFLUC,1.0,21.416422
+Rnasin_enrich,WSN_PB2,1.0,16.551771
+Rnasin_enrich,WSN_PB2,1.0,16.880692
+Rnasin_enrich,WSN_PB2,1.0,16.673212
+Rnasin_enrich,FFLUC,2.0,20.927565
+Rnasin_enrich,FFLUC,2.0,21.267193
+Rnasin_enrich,FFLUC,2.0,21.387724
+Rnasin_enrich,WSN_PB2,2.0,16.955063
+Rnasin_enrich,WSN_PB2,2.0,16.9917
+Rnasin_enrich,WSN_PB2,2.0,16.762001
+Rnasin_flowthrough,FFLUC,1.0,19.406412
+Rnasin_flowthrough,FFLUC,1.0,19.177788
+Rnasin_flowthrough,FFLUC,1.0,19.457657
+Rnasin_flowthrough,WSN_PB2,1.0,14.5437565
+Rnasin_flowthrough,WSN_PB2,1.0,14.622053
+Rnasin_flowthrough,WSN_PB2,1.0,14.520015
+Rnasin_flowthrough,FFLUC,2.0,19.61379
+Rnasin_flowthrough,FFLUC,2.0,19.96869
+Rnasin_flowthrough,FFLUC,2.0,20.286467
+Rnasin_flowthrough,WSN_PB2,2.0,14.939159
+Rnasin_flowthrough,WSN_PB2,2.0,15.008801
+Rnasin_flowthrough,WSN_PB2,2.0,15.248276
-Rnasin_input,FFLUC,1.0,19.980862
-Rnasin_input,FFLUC,1.0,20.843014
-Rnasin_input,FFLUC,1.0,20.27456
-Rnasin_input,WSN_PB2,1.0,16.047575
-Rnasin_input,WSN_PB2,1.0,16.137667
-Rnasin_input,WSN_PB2,1.0,16.520353
-Rnasin_input,FFLUC,2.0,20.51639
-Rnasin_input,FFLUC,2.0,20.929726
-Rnasin_input,FFLUC,2.0,21.289312
-Rnasin_input,WSN_PB2,2.0,16.598894
-Rnasin_input,WSN_PB2,2.0,16.548311
-Rnasin_input,WSN_PB2,2.0,16.830034
-Rnasin_enrich,FFLUC,1.0,21.183695
-Rnasin_enrich,FFLUC,1.0,20.717737
-Rnasin_enrich,FFLUC,1.0,20.678265
-Rnasin_enrich,WSN_PB2,1.0,16.990253
-Rnasin_enrich,WSN_PB2,1.0,16.57728
-Rnasin_enrich,WSN_PB2,1.0,16.600416
-Rnasin_enrich,FFLUC,2.0,20.7907
-Rnasin_enrich,FFLUC,2.0,20.508553
-Rnasin_enrich,FFLUC,2.0,20.494322
-Rnasin_enrich,WSN_PB2,2.0,16.583319
-Rnasin_enrich,WSN_PB2,2.0,16.746328
-Rnasin_enrich,WSN_PB2,2.0,16.780437
-Rnasin_flowthrough,FFLUC,1.0,17.986557
-Rnasin_flowthrough,FFLUC,1.0,18.111847
-Rnasin_flowthrough,FFLUC,1.0,18.028746
-Rnasin_flowthrough,WSN_PB2,1.0,13.824091
-Rnasin_flowthrough,WSN_PB2,1.0,13.771885
-Rnasin_flowthrough,WSN_PB2,1.0,13.906653
-Rnasin_flowthrough,FFLUC,2.0,18.528357
-Rnasin_flowthrough,FFLUC,2.0,18.366081
-Rnasin_flowthrough,FFLUC,2.0,18.174793
-Rnasin_flowthrough,WSN_PB2,2.0,14.0244
-Rnasin_flowthrough,WSN_PB2,2.0,14.179498
-Rnasin_flowthrough,WSN_PB2,2.0,14.076482
