Sample Name,Target Name,Task,CT
+Rnasin_input,FFLUC,1.0,19.351734
+Rnasin_input,FFLUC,1.0,19.268934
+Rnasin_input,FFLUC,1.0,19.076605
+Rnasin_input,WSN_PB2,1.0,17.74912
+Rnasin_input,WSN_PB2,1.0,17.50262
+Rnasin_input,WSN_PB2,1.0,17.606693
+Rnasin_enrich,FFLUC,1.0,19.065384
+Rnasin_enrich,FFLUC,1.0,19.210295
+Rnasin_enrich,FFLUC,1.0,19.494732
+Rnasin_enrich,WSN_PB2,1.0,17.66692
+Rnasin_enrich,WSN_PB2,1.0,17.650013
+Rnasin_enrich,WSN_PB2,1.0,17.616634
+Rnasin_flowthrough,FFLUC,1.0,17.370155
+Rnasin_flowthrough,FFLUC,1.0,17.465397
+Rnasin_flowthrough,FFLUC,1.0,17.474102
+Rnasin_flowthrough,WSN_PB2,1.0,15.148191
+Rnasin_flowthrough,WSN_PB2,1.0,15.299949
-Rnasin_input,FFLUC,1.0,21.067472
-Rnasin_input,FFLUC,1.0,21.0823
-Rnasin_input,FFLUC,1.0,21.12967
-Rnasin_input,WSN_PB2,1.0,18.062885
-Rnasin_input,WSN_PB2,1.0,18.31293
-Rnasin_input,WSN_PB2,1.0,18.351967
-Rnasin_enrich,FFLUC,1.0,20.18778
-Rnasin_enrich,FFLUC,1.0,20.093538
-Rnasin_enrich,FFLUC,1.0,19.98193
-Rnasin_enrich,WSN_PB2,1.0,18.369705
-Rnasin_enrich,WSN_PB2,1.0,17.96684
-Rnasin_enrich,WSN_PB2,1.0,17.983671
-Rnasin_flowthrough,FFLUC,1.0,18.55111
-Rnasin_flowthrough,FFLUC,1.0,19.184334
-Rnasin_flowthrough,FFLUC,1.0,18.879654
-Rnasin_flowthrough,WSN_PB2,1.0,15.937189
-Rnasin_flowthrough,WSN_PB2,1.0,16.080786
-Rnasin_flowthrough,WSN_PB2,1.0,16.08642
