Sample Name,Target Name,Task,CT
+Rnasin_input,FFLUC,1.0,24.06836
+Rnasin_input,FFLUC,1.0,24.593931
+Rnasin_input,FFLUC,1.0,24.087315
+Rnasin_elute,FFLUC,1.0,28.048641
+Rnasin_elute,FFLUC,1.0,28.164722
+Rnasin_elute,FFLUC,1.0,28.793526
+Rnasin_flowthrough,FFLUC,1.0,22.311712
+Rnasin_flowthrough,FFLUC,1.0,22.107203
+Rnasin_flowthrough,FFLUC,1.0,22.244673
+Rnasin_input,FFLUC,2.0,24.211702
+Rnasin_input,FFLUC,2.0,23.473932
+Rnasin_input,FFLUC,2.0,23.332975
+Rnasin_elute,FFLUC,2.0,28.108183
+Rnasin_elute,FFLUC,2.0,28.349636
+Rnasin_elute,FFLUC,2.0,28.084715
+Rnasin_flowthrough,FFLUC,2.0,22.230461
+Rnasin_flowthrough,FFLUC,2.0,22.00761
+Rnasin_flowthrough,FFLUC,2.0,22.32748
-Rnasin_input,FFLUC,1.0,25.631748
-Rnasin_input,FFLUC,1.0,25.018274
-Rnasin_input,FFLUC,1.0,23.116032
-Rnasin_elute,FFLUC,1.0,27.788849
-Rnasin_elute,FFLUC,1.0,27.940825
-Rnasin_elute,FFLUC,1.0,28.415892
-Rnasin_flowthrough,FFLUC,1.0,21.76936
-Rnasin_flowthrough,FFLUC,1.0,22.127558
-Rnasin_flowthrough,FFLUC,1.0,22.032967
-Rnasin_input,FFLUC,2.0,24.696
-Rnasin_input,FFLUC,2.0,25.594404
-Rnasin_input,FFLUC,2.0,24.403133
-Rnasin_elute,FFLUC,2.0,25.142172
-Rnasin_elute,FFLUC,2.0,25.19951
-Rnasin_elute,FFLUC,2.0,25.044067
-Rnasin_flowthrough,FFLUC,2.0,22.585695
-Rnasin_flowthrough,FFLUC,2.0,22.695078
-Rnasin_flowthrough,FFLUC,2.0,22.687073
